ACC,NPV,PPV,SEN,SPC,cost_matrix
0.9,0.833333333333,1.0,0.8,1.0,10.0
0.736842105263,0.75,0.727272727273,0.8,0.666666666667,17.5
0.736842105263,0.7,0.777777777778,0.7,0.777777777778,20.0
0.944444444444,1.0,0.9,1.0,0.888888888889,2.5
0.833333333333,0.75,1.0,0.666666666667,1.0,15.0
1.0,1.0,1.0,1.0,1.0,0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,10.0
0.888888888889,0.888888888889,0.888888888889,0.888888888889,0.888888888889,7.5
1.0,1.0,1.0,1.0,1.0,0.0
0.823529411765,0.8,0.857142857143,0.75,0.888888888889,12.5
