ACC,NPV,PPV,SEN,SPC,cost_matrix
0.8,0.875,0.75,0.9,0.7,12.5
0.684210526316,0.8,0.642857142857,0.9,0.444444444444,17.5
0.684210526316,0.714285714286,0.666666666667,0.8,0.555555555556,20.0
0.944444444444,1.0,0.9,1.0,0.888888888889,2.5
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,2.5
0.777777777778,0.777777777778,0.777777777778,0.777777777778,0.777777777778,15.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,10.0
0.764705882353,0.857142857143,0.7,0.875,0.666666666667,12.5
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,15.0
