ACC,NPV,PPV,SEN,SPC,cost_matrix
0.8,0.714285714286,1.0,0.6,1.0,20.0
0.631578947368,0.6,0.666666666667,0.6,0.666666666667,27.5
0.789473684211,0.727272727273,0.875,0.7,0.888888888889,17.5
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,10.0
0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,22.5
1.0,1.0,1.0,1.0,1.0,0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,10.0
0.833333333333,0.8,0.875,0.777777777778,0.888888888889,12.5
0.941176470588,0.9,1.0,0.875,1.0,5.0
0.823529411765,0.8,0.857142857143,0.75,0.888888888889,12.5
